condition,client,macro_f1_all,macro_f1_present_only,present_classes
federated,client_0,0.8036,0.8036,"['Anxiety', 'Depression', 'Normal', 'Suicidal']"
federated,client_1,0.7533,0.7533,"['Anxiety', 'Depression', 'Normal', 'Suicidal']"
federated,client_2,0.7077,0.7077,"['Anxiety', 'Depression', 'Normal', 'Suicidal']"
federated,client_3,0.6739,0.6739,"['Anxiety', 'Depression', 'Normal', 'Suicidal']"
federated,client_4,0.4707,0.9415,"['Normal', 'Suicidal']"
dp_eps8,client_0,0.7249,0.7249,"['Anxiety', 'Depression', 'Normal', 'Suicidal']"
dp_eps8,client_1,0.638,0.638,"['Anxiety', 'Depression', 'Normal', 'Suicidal']"
dp_eps8,client_2,0.6675,0.6675,"['Anxiety', 'Depression', 'Normal', 'Suicidal']"
dp_eps8,client_3,0.6001,0.6001,"['Anxiety', 'Depression', 'Normal', 'Suicidal']"
dp_eps8,client_4,0.4342,0.8684,"['Normal', 'Suicidal']"
dp_eps3,client_0,0.7074,0.7074,"['Anxiety', 'Depression', 'Normal', 'Suicidal']"
dp_eps3,client_1,0.635,0.635,"['Anxiety', 'Depression', 'Normal', 'Suicidal']"
dp_eps3,client_2,0.6514,0.6514,"['Anxiety', 'Depression', 'Normal', 'Suicidal']"
dp_eps3,client_3,0.593,0.593,"['Anxiety', 'Depression', 'Normal', 'Suicidal']"
dp_eps3,client_4,0.4304,0.8607,"['Normal', 'Suicidal']"
dp_eps1,client_0,0.6605,0.6605,"['Anxiety', 'Depression', 'Normal', 'Suicidal']"
dp_eps1,client_1,0.5495,0.5495,"['Anxiety', 'Depression', 'Normal', 'Suicidal']"
dp_eps1,client_2,0.6157,0.6157,"['Anxiety', 'Depression', 'Normal', 'Suicidal']"
dp_eps1,client_3,0.5876,0.5876,"['Anxiety', 'Depression', 'Normal', 'Suicidal']"
dp_eps1,client_4,0.401,0.802,"['Normal', 'Suicidal']"
local_only,client_0,0.8312,0.8312,"['Anxiety', 'Depression', 'Normal', 'Suicidal']"
local_only,client_1,0.7263,0.7263,"['Anxiety', 'Depression', 'Normal', 'Suicidal']"
local_only,client_2,0.7282,0.7282,"['Anxiety', 'Depression', 'Normal', 'Suicidal']"
local_only,client_3,0.6733,0.6733,"['Anxiety', 'Depression', 'Normal', 'Suicidal']"
local_only,client_4,0.4682,0.9365,"['Normal', 'Suicidal']"
